isbn,book_title,book_author,year_of_publication,publisher
0061080721,The Bridegroom (Harper Monogram),Carol Jerina,1993,Harper Mass Market Paperbacks (Mm)
0061080748,The Wedding (Harper Monogram),Elizabeth Bevarly,1993,Harper Mass Market Paperbacks (Mm)
0061080764,Kissing Cousins (Harper Monogram),Carol Jernia,1994,Harper Mass Market Paperbacks (Mm)
0061080802,The Heart's Legacy (Harper Monogram),Barbara Keller,1993,Harper Mass Market Paperbacks (Mm)
0061080810,Magic Touch,Christina Hamlett,1993,Harper Mass Market Paperbacks (Mm)
0061080829,The Anxious Heart (Harper Monogram),Denise Robertson,1993,Harper Mass Market Paperbacks (Mm)
0061080845,The Secret,Penelope Thomas,1993,Harper Mass Market Paperbacks (Mm)
0061080853,Indiscretions (Harper Monogram),Penelope Thomas,1994,Harper Mass Market Paperbacks (Mm)
0061080861,When Destiny Calls (Harper Monogram),Suzanne Elizabeth,1993,HarperTorch
0061080926,Phantom Lover (Harper Monogram),Millie Criswell,1993,Harper Mass Market Paperbacks (Mm)
0061080934,Diamond in the Rough (Harper Monogram),Millie Criswell,1994,Harper Mass Market Paperbacks (Mm)
0061080942,Mail-Order Outlaw (Harper Monogram),Millie Criswell,1994,Harper Mass Market Paperbacks (Mm)
0061080969,Something's Cooking (Angie Amalfi Mysteries),Joanne Pence,1993,HarperTorch
0061080985,Heart Sounds (Harper Monogram),Michele Johns,1993,Harper Mass Market Paperbacks (Mm)
0061080993,Kentucky Thunder (Harper Monogram),Clara Wimberly,1993,Harper Mass Market Paperbacks (Mm)
0061081043,Primrose (Harper Monogram),Clara Wimberly,1994,Harper Mass Market Paperbacks (Mm)
0061081086,Firebrand (Harper Monogram),Kathy Lynn Emerson,1993,HarperCollins Publishers
0061081094,Unquiet Hearts (Harper Monogram),Kathy Lynn Emerson,1994,HarperCollins Publishers
0061081108,Sunrise,Chassie West,1996,HarperTorch
0061081116,Loss of Innocence : Loss of Innocence,Chassie West,1997,HarperTorch
0061081299,Purrfect Love (Harper Monogram),Debbie Macomber,1994,HarperTorch
0061081329,One of These Nights,Susan Sizemore,1997,Harper Mass Market Paperbacks (Mm)
0061081337,My First Duchess (Harper Monogram),Susan Sizemore,1993,Harper Mass Market Paperbacks (Mm)
0061081345,In My Dreams,Susan Sizemore,1994,Harper Mass Market Paperbacks (Mm)
0061081361,Promise Me Tomorrow (Harper Monogram),Catriona Flynt,1993,Harper Mass Market Paperbacks (Mm)
0061081396,Circle in the Water,Susan Wiggs,1994,HarperCollins Publishers
006108140X,Promises/Some Are Made to Be Broken (Harper Monogram),Jeane Renick,1994,Harper Mass Market Paperbacks (Mm)
0061081418,Always... (Harper Monogram),Jeane Renick,1993,Harper Mass Market Paperbacks
0061081442,Vows Made in Wine (Harper Monogram),Susan Wiggs,1995,HarperCollins Publishers
0061081450,Dancing on Air (Harper Monogram),Susan Wiggs,1996,HarperCollins Publishers
0061081477,Prairie Light (Harper Monogram),Margaret Carroll,1994,Harper Mass Market Paperbacks (Mm)
0061081493,Sweet Amity's Fire (Harper Monogram),Lee Scofield,1993,Harper Mass Market Paperbacks (Mm)
0061081515,Outrageous,Christina Dodd,1994,HarperTorch
0061081523,Move Heaven and Earth : Move Heaven and Earth (Harper Monogram),Christina Dodd,1995,HarperTorch
0061081531,The Greatest Lover in All England,Christina Dodd,1994,HarperTorch
0061081558,Chance McCall (Harper Monograms),Sharon Sala,2003,HarperTorch
0061081566,Pretty Birds of Passage (Harper Monogram),Roslynn Griffith,1993,Harper Mass Market Paperbacks (Mm)
0061081582,A Bad Girl's Money (Harper Monogram),Paula Paul,1993,Harper Mass Market Paperbacks (Mm)
0061081612,The Trysting Moon (Harper Monogram),Deborah Satinwood,1993,Harper Mass Market Paperbacks (Mm)
0061081620,Forevermore (Harper Monogram),Maura Seger,1994,HarperCollins Publishers
0061081671,To Dream Again (Harper Monogram),Laura Lee Guhrke,1995,Harper Mass Market Paperbacks (Mm)
0061081701,Meadowlark (Harper Monogram),Carolyn Lampman,1995,HarperCollins Publishers
006108171X,A Window in Time (Harper Monogram),Carolyn Lampman,1995,Harper Mass Market Paperbacks (Mm)
0061081752,The Wind Casts No Shadows (Harper Monogram),Roslynn Griffith,1994,Harper Mass Market Paperbacks (Mm)
0061081760,Heart of the Jaguar,Roslynn Griffith,1994,Harper Mass Market Paperbacks (Mm)
0061081809,Winds of Glory (Harper Monogram),Susan Wiggs,1995,HarperCollins Publishers
0061081833,Traitorous Hearts (Harper Monogram),Susan Kay Law,1994,Harper Mass Market Paperbacks (Mm)
0061081841,A Season of Angels (Harper Monogram),Debbie Macomber,1993,HarperCollins Publishers
006108185X,One Night,Debbie Macomber,1994,HarperTorch
0061081957,"Oh, Susannah (Harper Monogram)",Leigh Riker,1995,Harper Mass Market Paperbacks (Mm)
0061081965,Diamond (Harper Monogram),Sharon Sala,2001,Avon
0061081973,Queen,Sharon Sala,2002,Avon
0061081981,Lucky (Avon Romance),Sharon Sala,2002,Avon
006108199X,Too Many Cooks (Angie Amalfi Mysteries),Joanne Pence,1994,HarperTorch
0061082007,Cooking up Trouble (Angie Amalfi Mysteries),Joanne Pence,1995,HarperTorch
0061082031,The Sky Lord (Harper Monogram),Emma Harrington,1994,Harper Mass Market Paperbacks (Mm)
006108204X,Mirage (Monogram),Donna Valentino,1994,Harper Mass Market Paperbacks (Mm)
0061082066,My Own True Love (Harper Monogram),Susan Sizemore,1994,Harper Mass Market Paperbacks (Mm)
0061082074,Nothing Else Matters (Harper Monogram),Susan Sizemore,1995,Harper Mass Market Paperbacks (Mm)
0061082090,Ghostly Enchantment (Harper Monogram),Angie Ray,1994,Harper Mass Market Paperbacks (Mm)
0061082104,The Coming Home Place (Monogram),Mary Spencer,1994,Harper Mass Market Paperbacks (Mm)
0061082120,The Law and Miss Penny (Harper Monogram),Sharon Ihle,1994,HarperCollins Publishers
0061082139,Crazy For Lovin' You (Harper Monogram),Lisa G. Brown,1994,HarperTorch
0061082147,Sleeping at the Magnolia,Lisa G. Brown,1997,HarperTorch
0061082155,"Tall, Dark, and Dangerous : Tall, Dark, and Dangerous",Christina Dodd,1994,HarperTorch
0061082163,Alone in a Crowd (Harper Monogram),Georgia Bockoven,1995,HarperTorch
0061082201,Passion's Fury,Patricia Hagan,1995,Harper Mass Market Paperbacks (Mm)
006108221X,Simply Heaven : Simply Heaven (Harper Monogram),Patricia Hagan,1995,HarperTorch
0061082228,Say You Love Me,Patricia Hagan,1995,Harper Mass Market Paperbacks (Mm)
0061082252,Destined to Love,Suzanne Elizabeth,1994,HarperTorch
0061082260,Gambler's Gold (Harper Monogram),Barbara Keller,1994,Harper Mass Market Paperbacks (Mm)
0061082279,Shadow Prince (Harper Monogram),Terri Lynn Wilhelm,1994,Harper Mass Market Paperbacks (Mm)
0061082287,Siren's Song,Constance O'Banyon,1996,Harper Mass Market Paperbacks (Mm)
0061082295,Once upon a Time,Constance O'Banyon,1996,Harper Mass Market Paperbacks (Mm)
0061082309,LA Flamme,Constance O'Banyon,1995,Harper Mass Market Paperbacks (Mm)
006108235X,Comanche Moon,Catherine Anderson,1993,Harper Mass Market Paperbacks (Mm)
0061082368,A Nothing Town in Texas,Lass Small,1993,HarperCollins Publishers
0061082392,Quiet Fires,Ginna Gray,1993,Harper Mass Market Paperbacks (Mm)
0061082406,The Lily and the Leopard,Susan Wiggs,1993,Harper Mass Market Paperbacks (Mm)
0061082422,The Bride Price,Karen Jones Delk,1993,Harper Mass Market Paperbacks (Mm)
0061082538,Heaven in a Wildflower,Patricia Hagan,1994,Harper Mass Market Paperbacks
0061082562,Journey Home (Harper Monogram),Susan Kay Law,1994,Harper Mass Market Paperbacks (Mm)
0061082589,Trust Me,Jeane Renick,1994,HarperPrism
0061082678,Winner Take All (Harper Monogram),Terri Herrington,1995,Harper Mass Market Paperbacks (Mm)
0061082694,Fool of Hearts,Terri Lynn Wilhelm,1995,HarperTorch
0061082708,Peggy Sue Got Murdered (Harper Monogram),Tess Gerritsen,1994,HarperCollins Publishers
0061082716,Duel of Hearts,Helen Archery,1994,HarperCollins Publishers
0061082732,A Slender Thread (Harper Monogram),Lee Scofield,1995,Harper Mass Market Paperbacks (Mm)
0061082740,Young Man's Darling,Lee Scofield,1995,Harper Mass Market Paperbacks (Mm)
0061082759,The Long Road Home (Harper Monogram),Mary Alice Monroe,1995,Harper Mass Market Paperbacks (Mm)
0061082767,First and Forever (Harper Monogram),Zita Christian,1994,HarperCollins Publishers
0061082783,All Things Beautiful (Monogram),Cathy Maxwell,1994,Avon
0061082813,Wish List,Jeane Renick,1996,Harper Mass Market Paperbacks (Mm)
0061082864,Seasons of Love (Harper Monogram),Elaine Barbieri,1995,Harper Mass Market Paperbacks (Mm)
0061082899,Straight from the Heart (Harper Monogram),Pamela Wallace,1996,Harper Mass Market Paperbacks (Mm)
0061082902,Desert Song (Harper Monogram),Constance O'Banyon,1995,Harper Mass Market Paperbacks (Mm)
0061082910,A Dangerous Dandy (A Harper Monogram Regency),Pat Cody,1994,Harper Mass Market Paperbacks (Mm)
0061082929,Hearts of Gold,Martha Longshore,1994,Harper Mass Market Paperbacks (Mm)
0061082945,Always,Jeane Renick,1994,HarperPrism
006108297X,Raven in Amber,Patricia Simpson,1994,HarperPrism
0061082996,Golden Dream,Carol Jerina,1994,HarperPrism
0061083011,Man to Die for,Eileen Dreyer,1994,HarperPrism
0061083038,Return to Camelot,Donna Grove,1995,Harper Mass Market Paperbacks (Mm)
0061083054,Home Fires (Harper Monogram),Susan Kay Law,1995,Harper Mass Market Paperbacks (Mm)
0061083089,The Trouble with Angels,Debbie Macomber,1994,Avon
0061083097,Someday Soon,Debbie Macomber,1995,HarperTorch
0061083100,The Green Rose,Kathy Lynn Emerson,1994,HarperCollins Publishers
0061083143,The Covenant (Harper Monogram),Modean Moon,1995,Harper Mass Market Paperbacks (Mm)
0061083151,A Little Peace and Quiet,Modean Moon,1996,Harper Mass Market Paperbacks (Mm)
0061083232,A Child's Promise (Harper Monogram),Deborah Bedford,1995,Harper Mass Market Paperbacks (Mm)
0061083259,Dreamcatcher,Dinah McCall,1996,HarperTorch
0061083267,Deep in the Heart,Sharon Sala,2002,HarperTorch
0061083275,Second Chances,Sharon Sala,2002,HarperTorch
0061083348,Ride the Night Wind (Harper Monogram),Jo Ann Ferguson,1995,Harper Mass Market Paperbacks (Mm)
0061083364,Marrying Miss Shylo,Sharon Ihle,1994,Harper Mass Market Paperbacks (Mm)
0061083372,The Bride Wore Spurs,Sharon Ihle,1995,HarperCollins Publishers
0061083402,The Bandit's Lady (Harper Monogram),Maureen Child,1995,Harper Mass Market Paperbacks (Mm)
0061083410,Destiny's Embrace,Suzanne Elizabeth,1996,Harper Mass Market Paperbacks (Mm)
0061083429,Destiny Awaits (Harper Monogram),Suzanne Elizabeth,1995,Harper Mass Market Paperbacks (Mm)
0061083437,One Bright Morning (Harper Monogram),Alice Duncan,1995,Harper Mass Market Paperbacks (Mm)
0061083445,Touched by Angels,Debbie MacOmber,1995,HarperCollins Publishers
0061083453,Sooner or Later,Debbie Macomber,1996,HarperTorch
0061083461,Mrs. Miracle,Debbie Macomber,1996,HarperTorch
006108347X,Lady in Blue,Lynn Kerstan,1995,HarperTorch
0061083488,Almost Paradise (Harper Monogram),Barbara Ankrum,1995,HarperCollins Publishers
0061083496,Winter Bride,Teresa Southwick,1995,Harper Mass Market Paperbacks (Mm)
006108350X,Fire in the Dark (Harper Monogram),Susan MacIas,1995,Harper Mass Market Paperbacks (Mm)
0061083534,Yesterday's Tomorrows (Harper Monogram),Margaret Lane,1995,Harper Mass Market Paperbacks (Mm)
0061083577,Chickadee (Harper Monogram),Deborah Bedford,1995,HarperTorch
0061083585,Timberline,Deborah Bedford,1996,Harper Mass Market Paperbacks (Mm)
0061083593,Lord of Forever,Patricia Simpson,1995,Harper Mass Market Paperbacks (Mm)
0061083615,From This Day Forward (Harper Monogram),Deborah Cox,1995,Harper Mass Market Paperbacks (Mm)
006108364X,Bridge to Yesterday,Stephanie Mittman,1995,HarperCollins Publishers
0061083666,Once upon a Pirate (Harper Monogram),Nancy Block,1995,Harper Mass Market Paperbacks (Mm)
0061083755,Danny Boy (Harper Monogram),Leigh Riker,1995,Harper Mass Market Paperbacks
0061083763,Brimstone (Harper Monogram),Sonia Simone,1995,Harper Mass Market Paperbacks (Mm)
006108378X,A Delicate Condition (Harper Monogram),Angie Ray,1995,Harper Mass Market Paperbacks (Mm)
0061083836,A Hidden Magic,Terri Lynn Wilhelm,1996,Harper Mass Market Paperbacks (Mm)
0061083844,Storm Prince,Terri Lynn Wilhelm,1997,Harper Mass Market Paperbacks (Mm)
0061083852,A Purrfect Romance,Jennifer Blake,1995,HarperCollins Publishers
0061083860,An Innocent Ruse (Harper Monogram),Mary Morrow,1995,Harper Mass Market Paperbacks (Mm)
0061083879,Chances Are,Robin Lee Hatcher,1996,HarperCollins Publishers
0061083887,Kiss Me Katie,Robin Lee Hatcher,1996,HarperCollins Publishers
0061083895,Liberty Blue (Harper Monogram),Robin Lee Hatcher,1995,HarperCollins Publishers
0061083909,Finders Keepers,Sharon Sala,2003,HarperTorch
0061083917,Jackson Rule,Sharon Sala,1996,HarperTorch
0061083933,When Midnight Comes (Harper Monogram),Robin Burcell,1995,Harper Mass Market Paperbacks (Mm)
0061083941,A Taste of Honey,Stephanie Mittman,1995,Harper Mass Market Paperbacks (Mm)
0061083984,Once a Knight,Christina Dodd,1996,HarperTorch
0061083992,The Marrying Kind,Sharon Ihle,1996,HarperTorch
0061084026,Conor's Way,Laura Lee Guhrke,1996,Harper Mass Market Paperbacks (Mm)
0061084050,Courtney's Cowboy,Susan MacIas,1996,Harper Mass Market Paperbacks (Mm)
0061084069,Honeysuckle DeVine : Honeysuckle DeVine (Harper Monogram),Susan Macias,1996,HarperTorch
0061084077,Honor,Mary Spencer,1996,HarperCollins Publishers
0061084085,Till the End of Time (Harper Monogram Time Travel),Suzanne Elizabeth,1995,Harper Mass Market Paperbacks (Mm)
006108414X,Texas Lonesome (Harper Monogram),Alice Duncan,1996,Harper Mass Market Paperbacks (Mm)
0061084166,You Belong to My Heart (Harper Monogram),Nan Ryan,1996,Harper Mass Market Paperbacks (Mm)
0061084174,Burning Love,Nan Ryan,1996,Harper Mass Market Paperbacks (Mm)
0061084328,Silver Springs,Carolyn Lampman,1996,HarperTorch
0061084336,Queen of My Heart (Travel Time Romance),Donna Valentino,1996,Harper Mass Market Paperbacks (Mm)
0061084395,An Unspoken Promise,Georgia Bockoven,1997,Harper Mass Market Paperbacks (Mm)
0061084409,The Beach House,Georgia Bockoven,1997,HarperTorch
0061084433,Montana Morning,Jill Limber,1996,HarperCollins Publishers
0061084441,Tallchief,Sharon Sala,1997,HarperTorch
006108445X,Chase the Moon,Sharon Sala,1997,HarperTorch
0061084476,Misbegotten,Tamara Leigh,1996,HarperCollins Publishers
0061084484,Unforgotten,Tamara Leigh,1997,HarperCollins Publishers
0061084492,Almost a Lady,Barbara Ankrum,1996,Harper Mass Market Paperbacks (Mm)
0061084573,Callie's Honor,Kathleen Webb,1996,Harper Mass Market Paperbacks (Mm)
0061084581,Stealing Midnight,Sonia Simone,1996,Harper Mass Market Paperbacks (Mm)
006108459X,Miranda,Susan Wiggs,1996,HarperCollins Publishers
0061084611,American Dreamer,Theresa Weir,1997,HarperCollins Publishers
006108462X,Cool Shade,Theresa Weir,1998,HarperCollins Publishers
0061084638,Dangerous Men &amp; Adventurous Women: Romance Writers on the Appeal of the Romance,Jayne Ann Krentz,1996,Harper Mass Market Paperbacks (Mm)
0061084654,The Loving,Sandra Canfield,1996,Harper Mass Market Paperbacks
0061084662,For All Time,Parris Afton Bonds,1996,Harper Mass Market Paperbacks (Mm)
0061084670,When Destiny Calls,Suzanne Elizabeth,1996,Harper Mass Market Paperbacks
0061084719,Once upon a Pirate (Harper Monogram),Nancy Block,1996,Harper Mass Market Paperbacks (Mm)
0061084727,Prairie Knight (Time Travel Romance),Donna Valentino,1996,Harper Mass Market Paperbacks (Mm)
0061084735,The Janet Dailey Companion: A Comprehensive Guide to Her Life and Her Novels,Sonja Massie,1997,Harper Mass Market Paperbacks (Mm)
0061084743,Heaven in West Texas,Susan Kay Law,1997,Harper Mass Market Paperbacks (Mm)
0061084751,One Lonely Night,Susan Kay Law,1997,Harper Mass Market Paperbacks (Mm)
0061084808,Always in My Heart (Travel Time Romance),Donna Valentino,1997,Harper Mass Market Paperbacks (Mm)
0061084883,A Knight to Remember,Christina Dodd,1997,HarperTorch
0061084905,The Perfect Body,Amanda Matetsky,1997,Harper Mass Market Paperbacks (Mm)
0061084913,The Way Home,Megan Chance,1997,HarperTorch
0061084956,Jade,Patricia Simpson,1997,Harper Mass Market Paperbacks (Mm)
0061084980,Baby on the Doorstep,Cassie Edwards,1997,HarperTorch
0061085081,Homecoming,Janet Dailey,1997,HarperTorch
006108512X,Harvest Dance,Deborah Bedford,1997,Harper Mass Market Paperbacks (Mm)
0061085146,Desert Storm,Nan Ryan,1997,Harper Mass Market Paperbacks (Mm)
0061085154,Outlaw's Kiss,Nan Ryan,1997,HarperTorch
0061085170,The Princess Goes West,Nan Ryan,1998,HarperTorch
0061085189,Heart of a Knight,Barbara Samuel,1997,Harper Mass Market Paperbacks (Mm)
0061085219,Anora's Pride : Anoras Pride,Kathleen Webb,1997,HarperTorch
0061085502,Billy Bob Walker Got Married (Harper Monogram),Lisa G. Brown,1997,Harper Mass Market Paperbacks (Mm)
0061085510,Shadow Prince,Terri Lynn Wilhelm,1997,Harper Mass Market Paperbacks (Mm)
006108560X,Candle in the Window,Christina Dodd,1999,HarperCollins Publishers
0061085618,The Greatest Lover in All England,Christina Dodd,1999,HarperCollins Publishers
0061085634,Priceless,Christina Dodd,1998,HarperCollins Publishers
0061085650,Castles in the Air,Christina Dodd,1998,HarperCollins Publishers
0061086878,Dear Lady,Robin Lee Hatcher,1997,Harper Mass Market Paperbacks (Mm)
0061086886,Patterns of Love,Robin Lee Hatcher,1998,HarperTorch
0061086894,In His Arms,Robin Lee Hatcher,1998,HarperTorch
0061087017,Legend,Sharon Sala,1998,HarperTorch
0061087025,Touchstone,Sharon Sala,1999,HarperTorch
0061087041,The Gentleman Caller,Megan Chance,1998,HarperTorch
006108705X,A Season in Eden,Megan Chance,1999,HarperTorch
0061087068,The Cad,Edith Layton,1998,HarperTorch
0061087114,"Pirate of Her Own, A",Kinley MacGregor,1999,Harper Mass Market Paperbacks
0061087122,Master of Seduction,Kinley MacGregor,2000,Avon
0061087130,Master of Desire,Kinley MacGregor,2001,Avon
0061090212,Stairway to Heaven: Led Zeppelin Uncensored,Richard Cole,1996,Harper Mass Market Paperbacks (Mm)
0061090255,King's of the Hill/an Irreverent Look at the Men on the Mound,Nolan Ryan,1993,Harper Mass Market Paperbacks (Mm)
006109028X,Sharpe's Devil,Bernard Cornwell,1993,HarperTorch
0061090301,The Wisdom of Stones,Greg Matthews,1995,HarperCollins Publishers
0061090328,Other Lovers,Erin Pizzey,1993,Harper Mass Market Paperbacks (Mm)
0061090344,Over There,Thomas Fleming,1994,Harper Mass Market Paperbacks (Mm)
0061090352,Laurence Olivier: A Biography,Donald Spoto,1993,Harper Mass Market Paperbacks (Mm)
0061090395,A Hooded Crow,Craig Thomas,1993,Harper Mass Market Paperbacks (Mm)
0061090409,Keeper of the Light : Keeper of the Light,Diane Chamberlain,1993,HarperTorch
0061090417,City of Gold,Len Deighton,1993,Harper Mass Market Paperbacks (Mm)
0061090506,Dire Happenings at Scratch Ankle (Kate Mulcay Mystery),Celestine Sibley,1994,Harper Mass Market Paperbacks (Mm)
0061090514,The Lies That Bind: A Neil Hamel Mystery,Judith Van Gieson,1994,Harpercollins
0061090522,Loyalties,Thomas Fleming,1995,HarperCollins
0061090530,Death Penalty: A Novel,William J. Coughlin,1993,Harper Mass Market Paperbacks (Mm)
0061090565,Under Fire: An American Story,Oliver L. North,1992,HarperCollins Publishers
0061090581,Quitting the Mob,Michael Franzese,1993,Harper Mass Market Paperbacks (Mm)
0061090611,In Name Only,Barbara Wilkins,1993,Harper Mass Market Paperbacks (Mm)
0061090654,Belladonna,Michael Stewart,1993,Harper Mass Market Paperbacks (Mm)
0061090662,Ten Little Bloodhounds (Bloodhound (Paperback)),Virginia Lanier,2000,Avon
0061090735,The Escape Artist,Diane Chamberlain,1998,HarperCollins Publishers
0061090786,Vengeance,Ian St. James,1992,Harper Mass Market Paperbacks
0061090808,New York Dead,Stuart Woods,1992,HarperTorch
0061090832,"Ah, Sweet Mystery",Celestine Sibley,1992,Harper Mass Market Paperbacks (Mm)
0061090840,Deadly Perfume: An International Thriller,Gordon Thomas,1993,Harper Mass Market Paperbacks (Mm)
0061090867,Power in the Blood,Greg Matthews,1994,Harper Mass Market Paperbacks (Mm)
0061090891,Santa Fe Rules,Stuart Woods,1993,HarperTorch
0061090913,And the Ass Saw the Angel,Nick Cave,1992,HarperCollins Publishers
0061090921,Solis,A.A. Attanasio,1995,Harper Mass Market Paperbacks (Mm)
0061090948,MAMista,Len Deighton,1992,HarperTorch
0061090956,Still Waters,Kerry Tucker,1992,Harper Mass Market Paperbacks (Mm)
0061090999,Shooting Star,Kate Green,1993,Harper Mass Market Paperbacks
0061091030,Black Dreams,Kate Green,1994,Harper Mass Market Paperbacks (Mm)
0061091154,Perfect Murder: Five Great Mystery Writers Create the Perfect Crime,Jack Hitt,1992,Harper Mass Market Paperbacks (Mm)
0061091219,Fire on Ice,Eric Lindros,1992,HarperPrism
0061091227,Growing Up Brady: I Was a Teenage Greg,Barry Williams,1993,Harper Mass Market Paperbacks (Mm)
0061091316,Lost Boys,Orson Scott Card,1993,HarperTorch
0061091391,The Wolf Path,Judith Van Gieson,1993,HarperTorch
006109143X,Done Deal,Les Standiford,1994,HarperTorch
0061091456,Bones: A Forensic Detective's Casebook,"Douglas, Dr. Ubelaker",1993,HarperTorch
0061091464,The Thief of Always,Clive Barker,1993,HarperTorch
0061091472,"No More Holiday Blues: Uplifting Advice for Recapturing the True Spirit of Christmas, Hanukkah, and the New Year","Wayne W., Dr. Dyer",1993,Harper Mass Market Paperbacks (Mm)
0061091480,Your Erroneous Zones,"Wayne W., Dr. Dyer",1997,HarperTorch
0061091499,Name of the Beast,Daniel Easterman,1994,Harper Mass Market Paperbacks (Mm)
0061091502,Real Magic: Creating Miracles in Everyday Life,"Wayne W., Dr. Dyer",1993,HarperTorch
0061091545,The Trouble With Thin Ice (Simona Griffo Mysteries (Paperback)),Camilla T. Crespi,1994,HarperCollins Publishers
0061091553,Fortune's Child,William Gill,1994,Harper Mass Market Paperbacks (Mm)
0061091561,L.A. Times,Stuart Woods,1994,HarperTorch
006109157X,Dead Eyes,Stuart Woods,1994,HarperTorch
0061091618,For Love,Sue Miller,1996,HarperTorch
0061091669,Marilyn Monroe: The Biography : Marilyn Monroe: The Biography,Donald Spoto,1994,HarperTorch
0061091685,Playing With Cobras,Craig Thomas,1994,Harper Mass Market Paperbacks (Mm)
0061091693,A Wild Justice,Craig Thomas,1996,HarperTorch
0061091707,Every Crooked Nanny (Callahan Garrity Mysteries (Paperback)),Kathy Hogan Trocheck,1993,Avon
0061091715,To Live and Die in Dixie (Callahan Garrity Mysteries (Paperback)),Kathy Hogan Trocheck,1994,Avon
0061091731,Strange Brew (Callahan Garrity Mysteries (Paperback)),Kathy Hogan Trocheck,1998,Avon
006109174X,Redemption,Leon Uris,1996,HarperTorch
0061091758,Full-Bodied Red,Bruce Zimmerman,1994,Harper Mass Market Paperbacks (Mm)
0061091774,Final Resort,Ian St. James,1996,Harper Mass Market Paperbacks (Mm)
0061091790,After All These Years,Susan Isaacs,1994,HarperTorch
0061091804,Inventing Memory: A Novel of Mothers and Daughters,Erica Jong,1998,Harper Mass Market Paperbacks (Mm)
0061091820,Concert of Ghosts,Campbell Armstrong,1994,Harper Mass Market Paperbacks (Mm)
0061091847,Mafia Dynasty: The Rise and Fall of the Gambino Crime Family,John H. Davis,1994,HarperTorch
0061091871,Rebel (Starbuck Chronicles),Bernard Cornwell,1994,HarperTorch
0061091928,The Judas Testament,Daniel Easterman,1995,Harper Mass Market Paperbacks (Mm)
0061091944,Stonehenge,Bernard Cornwell,2001,HarperTorch
0061091952,Violent Ward,Len Deighton,1994,Harper Mass Market Paperbacks (Mm)
0061091960,Copperhead (Starbuck Chronicles),Bernard Cornwell,1995,HarperTorch
0061091979,Battle Flag (Starbuck Chronicles),Bernard Cornwell,1996,HarperTorch
0061091987,The Bloody Ground (Starbuck Chronicles),Bernard Cornwell,1997,HarperTorch
0061091995,Sacrament,Clive Barker,1997,HarperTorch
0061092002,Galilee,Clive Barker,1999,HarperTorch
0061092029,A Marriage Made in Heaven : Or Too Tired for an Affair,Erma Bombeck,1994,HarperTorch
0061092037,The Fourth Estate,Jeffrey Archer,1997,HarperTorch
0061092045,Honor Among Thieves,Jeffrey Archer,1994,HarperTorch
0061092053,Night of the Apocalypse,Daniel Easterman,1996,Harper Mass Market Paperbacks (Mm)
006109207X,Everything to Gain,Barbara Taylor Bradford,1995,HarperTorch
006109207x,Everything to Gain,Barbara Taylor Bradford,1995,HarperTorch
0061092088,Dangerous to Know,Barbara Taylor Bradford,1996,HarperTorch
0061092096,Love in Another Town,Barbara Taylor Bradford,1996,HarperTorch
006109210X,I Love This Game!: My Life and Baseball,Kirby Puckett,1994,Harper Mass Market Paperbacks (Mm)
0061092142,Dreamboat,Doug J. Swanson,1995,Harper Mass Market Paperbacks (Mm)
0061092169,"Lords and Ladies: A Novel of Discworld (Pratchett, Terry. Discworld Series.)",Terry Pratchett,1995,Harper Mass Market Paperbacks
0061092177,Small Gods (Discworld Novels (Paperback)),Terry Pratchett,1994,HarperTorch
0061092185,Men at Arms: A Novel of Discworld (Discworld Novels (Hardcover)),Terry Pratchett,1996,Eos (HarperCollins)
0061092193,Men at Arms,Terry Pratchett,1997,HarperTorch
0061092207,The Bartender's Bible : 1001 Mixed Drinks and Everything You Need to Know to Set Up Your Bar,Gary Regan,1993,HarperTorch
006109224X,Pulling Your Own Strings: Dynamic Techniques for Dealing with Other People and Living Your Life as You Choose,"Wayne W., Dr. Dyer",1994,HarperTorch
0061092355,Star Trek Memories,William Shatner,1994,HarperTorch
0061092363,Dolly: My Life and Other Unfinished Business,Dolly Parton,1995,Harper Mass Market Paperbacks (Mm)
0061092398,Secret Missions,Michael Gannon,1995,Harper Mass Market Paperbacks (Mm)
006109241X,Sleeper,Gordon Stevens,1994,Harper Mass Market Paperbacks (Mm)
0061092428,Fear of Fifty: A Midlife Memoir (Harperspotlight),Erica Jong,1995,Harper Mass Market Paperbacks (Mm)
0061092509,Let Us Prey,Bill Branon,1995,Harper Mass Market Paperbacks (Mm)
0061092517,Devil's Hole,Bill Branon,1996,Harper Mass Market Paperbacks (Mm)
0061092533,Stitches in Time,Barbara Michaels,1996,HarperCollins Publishers
0061092541,The Dancing Floor,Barbara Michaels,1998,HarperTorch
0061092568,Homemade Sin (Callahan Garrity Mysteries (Paperback)),Kathy Hogan Trocheck,1995,Avon
0061092606,Sacred Clowns (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1994,HarperTorch
0061092614,Finding Moon,Tony Hillerman,1996,HarperTorch
0061092622,The Mysterious West,Tony Hillerman,1995,HarperTorch
006109272X,Fire and Rain : Fire and Rain,Diane Chamberlain,1994,HarperTorch
0061092738,All I Know About Animal Behaviori Learned in Loehmans Dressing Room,Erma Bombeck,1996,Harper Mass Market Paperbacks (Mm)
0061092800,For My Daughters,Barbara Delinsky,1996,HarperTorch
0061092819,Together Alone,Barbara Delinsky,1996,HarperTorch
0061092827,Shades of Grace,Barbara Delinsky,1997,HarperTorch
006109286X,The Pardon,James Grippando,1995,Avon Books
